iter	Passed	Remaining
398	96383	145179
399	96691	145037
400	96989	144879
401	97272	144698
402	97688	144714
403	98063	144668
404	98346	144484
405	98610	144272
406	98964	144191
407	99323	144116
408	99676	144031
409	99982	143876
410	100274	143702
411	100558	143515
412	100896	143404
413	101180	143216
414	101447	143004
415	101963	143140
416	102451	143235
417	102772	143094
418	103193	143091
419	103549	142997
420	103914	142913
421	104306	142865
422	104643	142740
423	105035	142689
424	105391	142588
425	105773	142520
426	106145	142438
427	106658	142542
428	107053	142487
429	107551	142568
430	108012	142596
431	108466	142612
432	108917	142624
433	109381	142650
434	109906	142752
435	110362	142761
436	110745	142676
437	111083	142531
438	111361	142309
439	111671	142126
440	111911	141855
441	112173	141612
442	112412	141340
443	112654	141072
444	112893	140800
445	113123	140517
446	113354	140235
447	113594	139965
448	113841	139702
449	114078	139429
450	114322	139164
451	114564	138896
452	114803	138625
453	115044	138357
454	115295	138100
455	115528	137823
456	115756	137540
457	116000	137275
458	116235	137000
459	116468	136723
460	116737	136489
461	116964	136205
462	117206	135939
463	117444	135669
464	117688	135404
465	117925	135133
466	118166	134866
467	118404	134596
468	118643	134328
469	119029	134224
470	119388	134090
471	119765	133975
472	120153	133870
473	120500	133719
474	120926	133655
475	121236	133462
476	121594	133320
477	121905	133126
478	122270	132991
479	122677	132900
480	123057	132779
481	123382	132597
482	123707	132416
483	124044	132245
484	124440	132137
485	124804	131994
486	125162	131844
487	125445	131615
488	125683	131337
489	125917	131057
490	126162	130787
491	126402	130513
492	126653	130249
493	126931	130014
494	127173	129742
495	127412	129467
496	127645	129186
497	127901	128928
498	128145	128659
499	128379	128379
500	128612	128099
501	128848	127822
502	129085	127545
503	129323	127270
504	129554	126988
505	129794	126716
506	130041	126450
507	130283	126179
508	130530	125914
509	130769	125641
510	131012	125372
511	131364	125207
512	131733	125057
513	132061	124867
514	132424	124710
515	132747	124515
516	132991	124245
517	133278	124016
518	133581	123800
519	133929	123626
520	134294	123468
521	134665	123314
522	135061	123182
523	135474	123064
524	135994	123042
525	136502	123007
526	137058	123014
527	137333	122768
528	137645	122553
529	137893	122283
530	138361	122206
531	138824	122123
532	139296	122047
533	139661	121876
534	140101	121770
535	140474	121604
536	140798	121395
537	141147	121208
538	141504	121026
539	141864	120847
540	142249	120688
541	142573	120477
542	142840	120217
543	143124	119972
544	143432	119746
545	143724	119507
546	143984	119241
547	144250	118979
548	144597	118786
549	144927	118576
550	145261	118370
551	145759	118297
552	146928	118765
553	147442	118699
554	148226	118847
555	148908	118912
556	149419	118838
557	149742	118613
558	150225	118513
559	150638	118358
560	151132	118265
561	151533	118099
562	152032	118007
563	152392	117806
564	152896	117716
565	153482	117687
566	153863	117500
567	154626	117603
568	155201	117560
569	155811	117542
570	156270	117408
571	156624	117194
572	157141	117102
573	157592	116958
574	158008	116788
575	158352	116564
576	158768	116393
577	159175	116214
578	159506	115979
579	159920	115804
580	160341	115633
581	160746	115450
582	160990	115150
583	161275	114881
584	161525	114586
585	161826	114328
586	162142	114080
587	162458	113831
588	162726	113549
589	163044	113302
590	163292	113006
591	163609	112757
592	163966	112536
593	164285	112289
594	164622	112053
595	165111	111920
596	165503	111721
597	165877	111509
598	166377	111381
599	166958	111305
600	167376	111120
601	167887	110995
602	168329	110824
603	168623	110554
604	168993	110334
605	169407	110142
606	169708	109877
607	170088	109662
608	170351	109372
609	170628	109090
610	171014	108878
611	171379	108652
612	172023	108602
613	172784	108623
614	173159	108400
615	173502	108157
616	174107	108076
617	174544	107890
618	174825	107606
619	175125	107335
620	175417	107058
621	175692	106771
622	175968	106484
623	176256	106206
624	176535	105921
625	176830	105646
626	177117	105366
627	177390	105078
628	177648	104781
629	177970	104522
630	178256	104241
631	178509	103942
632	178745	103632
633	179000	103334
634	179223	103018
635	179454	102706
636	179702	102405
637	179940	102097
638	180180	101792
639	180450	101503
640	180698	101202
641	180910	100881
642	181118	100558
643	181360	100255
644	181593	99946
645	181798	99623
646	181999	99298
647	182197	98971
648	182404	98650
649	182606	98326
650	182806	98002
651	183057	97705
652	183376	97445
653	183640	97155
654	184037	96936
655	184324	96657
656	184660	96405
657	185444	96385
658	185922	96205
659	186485	96068
660	186855	95830
661	187102	95529
662	187529	95320
663	188009	95137
664	188526	94971
665	188949	94758
666	189341	94528
667	189711	94287
668	189992	94002
669	190379	93769
670	190641	93474
671	190913	93183
672	191180	92891
673	191468	92609
674	191712	92305
675	191978	92013
676	192218	91708
677	192460	91404
