iter	Logloss
0	0.6913772238
1	0.6889909903
2	0.6870707567
3	0.6851012782
4	0.6834528628
5	0.6818387187
6	0.6797503649
7	0.6780581808
8	0.6760891559
9	0.6743648244
10	0.672303908
11	0.6706157455
12	0.6690998206
13	0.6677719932
14	0.666729594
15	0.6653178391
16	0.6639238075
17	0.6627541368
18	0.661594499
19	0.6606116003
20	0.6590582654
21	0.6576456725
22	0.6565699567
23	0.6554238381
24	0.6542212189
25	0.653373468
26	0.6523316328
27	0.6517340498
28	0.6508253532
29	0.6496411192
30	0.6487373878
31	0.6479344363
32	0.6468541988
33	0.6460790089
34	0.6450974237
35	0.6442702437
36	0.6432624676
37	0.6424647725
38	0.6418340718
39	0.6410325847
40	0.6403002457
41	0.639300143
42	0.6384222878
43	0.6375423141
44	0.636654124
45	0.635682114
46	0.6349922814
47	0.6341797176
48	0.6332156385
49	0.6325488867
50	0.6318007439
51	0.6309743551
52	0.6302088493
53	0.629633542
54	0.6289436545
55	0.6283347418
56	0.6278324436
57	0.6269975382
58	0.6262381258
59	0.6254313308
60	0.624698539
61	0.6243475783
62	0.6236658659
63	0.6230655337
64	0.6225155176
65	0.6220095596
66	0.6215957274
67	0.6208304124
68	0.6200448034
69	0.6196456268
70	0.6191473102
71	0.6187925589
72	0.618107718
73	0.6175538274
74	0.6169926825
75	0.6164849906
76	0.6159520053
77	0.6154297191
78	0.614793877
79	0.6145148104
80	0.6141502667
81	0.6135157253
82	0.6131079052
83	0.6125509292
84	0.612020267
85	0.6115908517
86	0.6111476863
87	0.6106632128
88	0.6101581775
89	0.6096086118
90	0.6089943703
91	0.6086731497
92	0.6081056149
93	0.6076616575
94	0.6072090174
95	0.6068584708
96	0.6063530877
97	0.6060144385
98	0.6056341909
99	0.6052050563
100	0.6046927927
101	0.6041890384
102	0.6035534282
103	0.6030018344
104	0.6025720444
105	0.6019207432
106	0.6013945057
107	0.6006843945
108	0.6003310827
109	0.5998960888
110	0.5995045627
111	0.5990645463
112	0.5986617183
113	0.5982733659
114	0.5978981304
115	0.597555959
116	0.5971100316
117	0.5967677345
118	0.5964306302
119	0.5959999539
120	0.5955619355
121	0.5951987251
122	0.5949269201
123	0.5946471855
124	0.5941329206
125	0.5937832056
126	0.5933194085
127	0.5929890842
128	0.5925260966
129	0.5921845477
130	0.5914792729
131	0.5911640013
132	0.5907122777
133	0.5903205735
134	0.5900091152
135	0.5895276748
136	0.589218985
137	0.5887341355
138	0.588401464
139	0.5880403124
140	0.5877518241
141	0.5874344874
142	0.5872171296
143	0.5868830298
144	0.5866291742
145	0.5861967863
146	0.5859151363
147	0.5856560892
148	0.5853231002
149	0.5848468633
150	0.5845099378
151	0.5839762827
152	0.583580422
153	0.5833186949
154	0.5830747122
155	0.5827390419
156	0.5825528852
157	0.5820567485
158	0.5817875763
159	0.5814995129
160	0.5811881926
161	0.5808539708
162	0.5805404377
163	0.5801335982
164	0.5797767352
165	0.5793432443
166	0.5789038545
167	0.5785241064
168	0.5782225086
169	0.5779832621
170	0.5776488203
171	0.577270086
172	0.5767088402
173	0.5763257971
174	0.5757649482
175	0.5755570679
176	0.575358089
177	0.5751448453
178	0.5747876873
179	0.5744403116
180	0.5741746147
181	0.5739005095
182	0.5735847316
183	0.5732814865
